number,country,description,points,price,province
81980,Spain,"Molasses, spice, chocolate and pure raisins define this as classic P.X. It's syrupy but not too much so, with maple, cinnamon and brown sugar flavors. For a sweet and candied dessert wine, it has excellent balance and persistence. A star among many in this category; these wines are hard not to like.",92,18,Andalucia
81990,Spain,"Serious wines from a tiny inland appellation in Catalonia—that's Abadal, a maker of true terroir wines that succeed way more often than they disappoint. This blend of Cab Sauvignon, Cab Franc and Syrah is minerally and full of red fruit and vanilla aromas. The palate is husky but correct, with full tannins, a kick of acidity and pure, ripe berry flavors. Even from a tough vintage it justifies its selected status.",91,49,Catalonia
82000,Italy,"There's a meaty, ripe aspect to the aromas here that recall black cherry and smoked ham. But there's also an edgy green tone that lends a slightly bitter impression in the mouth.",87,,Tuscany
82010,Italy,"This Riserva Brunello shows sharp, brambly characteristics of forest berry and white cherry. Although the nose is prickly and awkward, the wine wins points in the mouth thanks to its softness and plushness.",87,65,Tuscany
82020,Italy,"This blend of 70% Sangiovese with Canaiolo, Colorino, Ciliegiolo and Malvasia shows fruity berry and violet aromas. On the palate, juicy black plum fruit is laced with baking spice and structured by smooth tannins. Enjoy soon.",88,14,Tuscany
82030,US,"Juicy, leathery and earthy on the palate, this is a densely extracted blend of Cabernet Sauvignon, Merlot, Malbec and Petit Verdot. It presents dry, lengthy tannins and a rusticity of dusty clove, finishing lean and restrained.",88,80,California
82040,US,"The first release annually from the estate vineyard, this is a solid effort, seemingly infused with scents and flavors of pine needle, pine tar, earth and bark. The fruit is in the background, and leans toward cranberry and brambly blackberry.",88,23,Oregon
82050,Argentina,"Ripe aromas of blackberry and black currant come with hints of rubber and smoke. In the mouth, this is jammy but a bit flat. Peppery blackberry, dark spice and barbecued flavors finish toasty and blackened, with a note of licorice.",89,15,Mendoza Province
82060,Austria,"Echoes of that typical Grüner pepperiness can be divined on nose and palate. Even if this is very light, it offers clean fruit, citrus verve and refreshing zip.",88,15,Nieder?sterreich
82070,Austria,"Rounded flavors of ripe, red apple play about the palate and make for very appetizing if light-bodied drinking. Refreshment is the key factor, as is fruity exuberance. Drink soon.",88,12,Burgenland
82080,Spain,"Despite being a bit rough on the nose, this Tempranillo-Garnacha blend offers solid berry, plum and cherry aromas. A bright juicy palate delivers plum, currant and raspberry flavors along with a touch of dry spice. For everyday red, one shouldn't complain about this.",86,11,Northern Spain
82090,US,"This sparkling rosé has raspberry on the nose, with mid-range autolytic character and a little nuttiness. The palate contains more fruit, specifically strawberry, peaches and raspberry. There is a note of sourdough. Soft petillance and edgy acidity finish off the experience.",86,35,Virginia
82100,Spain,"Abrasive aromas of cherry and red plum are medicinal and rudimentary. This feels clamped and severely tannic. Foxy berry and buttery oak flavors finish choppy, with prodding acidity.",85,14,Northern Spain
82110,US,"Rich purple in the glass, the nose focuses on dark bramble berries dusted with cocoa and vanilla. The medium-to-full body follows suit, with support from smooth tannins and balanced acidity. The berry tones linger on a black-pepper kissed finish.",88,25,Colorado
82120,Portugal,"This is a spicy, wood laden wine. It has notes of toast and burnt wood as well as a dense texture. Still young, the rich black fruits are there behind the wood flavors. It is powerful while still balanced. Drink this solid wine from 2018.",88,16,Alentejano
82130,Argentina,"Fragrant lemon-lime and exotic bath soap aromas lead this wine. A round, oily feeling palate is full for the variety, with flavors of mixed citrus fruits, honey and lychee. Potent acidity creates some burn on the finish.",88,20,Other
82140,Italy,"Made entirely from Nerello Mascalese, this vibrant wine opens with blue flower, red-skinned berry and thyme aromas. The fresh, juicy palate delivers red cherry, strawberry, cinnamon and licorice flavors framed by fine-grained tannins. Enjoy through 2023.",91,20,Sicily & Sardinia
82150,Argentina,"Raisiny berry, spice cake and molasses aromas are rich and heady. This nonvintage blend of Malbec and Petit Verdot is a bit thick and oaky on the palate. Flavors of blackberry and creamy oak finish ripe and rooty, with a reprise of raisin.",91,30,Mendoza Province
82160,US,"Thick on the nose in black pepper and garrigue, this wine is velvety in layers of berry and cherry, with a hearty tobacco chaser. Concentrated and duly ripe, it brightens in the glass to show compelling bursts of white pepper and violet.",91,42,California
82170,US,"Beguiling streaks of red cherry surround a light, spicy, food-friendly core that's well balanced and integrated, the oak and tannin elegantly respectful of the red fruit. It offers medium weight amid the smoothness.",90,27,California
82180,US,"An unabashedly rich and luscious wine, this combines ripe and fresh fruit flavors with luxurious spicy, buttery accents and an almost thick texture. With a subtext as savory as Udon broth it's practically a meal in a bottle. Call it full-bodied, full-flavored, ultrasmooth and impressive.",90,22,California
82190,US,"Pears, white rocks, gray slate and lime juice show on the nose of this appellation blend from the iconic Santa Rosa Road winery. Similar flavors also show on the palate, primarily a grippy chalk, more lime and a Meyer lemon pith element, with the faintest hint of struck match in the background.",90,32,California
82200,US,"Green aromas are at the fore, with notes of underripe herb, mint, plum and spice. In contrast, the palate is full of spritely cherry and plum flavors. The aromas and flavors seem disconnected but it still brings intrigue.",87,30,Washington
82210,Italy,Delicate scents of spring flower and white peach follow through to the soft foaming palate along with green apple and a hint of candied nectarine drop. Bright acidity gives it a fresh finish.,87,11,Veneto
82220,Italy,"Honeysuckle, honeydew melon and white-peach aromas follow through to the somewhat sweet palate along with a note of glazed orange zest. Fresh acidity lifts the rich candied flavors.",87,19,Veneto
82230,US,"Despite the low alcohol, this is quite dry and tart, with a lemony base and some orange-pekoe flavors also. Not a complex Riesling, but light and pleasantly sippable.",87,25,Oregon
82240,US,"Lots to like in this 100% Cabernet. It's rich in red and black currants, cassis and chocolate flavors and fully dry, with a fine minerality that adds to the structure. But the alcohol is on the high side, and it feels too soft for balance. Drink soon.",86,60,California
82250,France,"Harvested in November 2011 from botrytized grapes which have benefited from the autumn mists, the wine is a fine combination of intense acidity and superrich honeyed flavors. It is ready to drink, although it will certainly age. The secret of the wine is its richness combined with fine acidity. Drink ideally from 2018.",92,33,Southwest France
82260,US,"This wine is equally split across the two varieties. The aromas offer notes of baking spice, flowers, soil and dark fruit while the palate explodes with dark, full-bodied fruit flavors. It needs time to unwind.",92,35,Washington
82270,France,"Although there is a little Merlot and Tannat in the wine, it is 90% Malbec. Still firmly tannic, it is concentrated and spicy. It has a dark dry texture that is lifted by ripe blackberry fruit. With acidity cutting right through, the wine is nowhere near ready to drink. Wait until 2019.",92,26,Southwest France
82280,US,"Part of Snoqualmie's new Eco series of organic wines, this young Cabernet Sauvignon includes 25% Merlot in the blend. The aromas are an unusual mix of flower and grain; tart, earthy rhubarb flavors follow. The wine finishes on a somewhat sour note.",85,13,Washington
82290,Austria,"This has a fleshy core of red cherry fruit and a prominent acidic backbone, making this a satisfying, food-friendly wine.",85,,Nieder?sterreich
82300,Chile,"This is crisp, with a floral aroma and minerality on the nose. It's lively and solid in structure, with dark fruit, coffee and bitter chocolate flavors. Things become more herbal upon closer inspection, with some warmth on the finish.",87,10,Colchagua Valley
82310,France,"This has spice and dried fruit notes, plus firmly structured tannins. The refreshing acidity partners with the fruit, creating a wine that still needs a few years to age.",87,14,Southwest France
82320,Italy,"A fine wine to enjoy while watching a football game or a good movie, this Merlot washes down easily, offering bright cherry, plum and mild spice flavors.",87,10,Sicily & Sardinia
82330,Argentina,"This bulky bullish Malbec opens with big tarry aromas that go heavy on the oak. The palate is tannic like the clack-clack of heels on a tile floor. This tastes earthy, oaky and like blackberry, while the finish echoes with those same flavors. Drink through 2023.",90,50,Mendoza Province
82340,Austria,"A touch of ripe stone fruit plays amidst lighter lemon scents on the nose of this wine. The palate has an edge of pithy grapefruit, adding zesty liveliness and a pleasant bitter tone. The finish is lip-smackingly fresh, lasting and dry, making you want to sip more.",90,18,Kremstal
82350,US,"Fresh-pressed boysenberry scents meet lava rock and slate minerality on the nose of this appellation blend from Fred Brander. There's a flinty earthiness to the palate, with pressed plum flavors and a strong graphite streak. It's relatively light in body, making it a perfect food wine.",90,28,California
82360,France,"There is a lightly toasty aroma here. On the palate, this wine is ripe, rich and full in the mouth.It has a smooth, creamy texture that is round while keeping plenty of room for acidity. This attractive wine should be drunk now.",87,,Burgundy
82370,Italy,"This opens with aromas of toast, oak and cherry. The tense palate offers raw red berry, roasted coffee bean, oak-driven spice and powdered sage, yet lacks fruit richness. Abrasive tannins give it a bracing finish.",87,55,Piedmont
82380,Argentina,"Ripe blackberry and plum aromas are open and potent. Strong tannins make for a rough palate feel, while dry, pulling raspberry and plum flavors finish with burn and a woody character.",86,18,Mendoza Province
82390,US,"Tropical in its pineapple and coconut scents, this white is creamy and lush. Neither overripe nor over-oaked, its finish is marked by wild vanilla.",88,18,California
82400,Italy,"Oak, vanilla, underbrush and spiced plum scents float out of the glass. The palate is lean and linear, offering sour cherry and star anise flavors, pulled taut by firm acidity and refined tannins.",88,,Tuscany
82410,Spain,"Sunbaked plum and currant aromas are a touch spicy. In the mouth, this blend of 50% Monastrell, 25% Syrah and 25% Cabernet Sauvignon is full, tannic and mostly well balanced. Dense spicy plume and black-fruit plum flavors finish with rubbery grabby tannins.",88,14,Levante
82420,US,"This is a nice, dry sparkling wine, rich in citrus, apple, yeasty brioche and spice flavors. The bubbles are a little ragged, giving it a scoury mouthfeel. But for the price, it's a fine bubbly.",86,16,California
82430,US,"Soft and jammy, with raspberry and red licorice flavors and a streak of brambles, nettles and peppery spices. It's a good, dry wine, but would benefit from greater structure. A Syrah-based Rh?ne-style blend.",86,16,California
82440,US,"Young vines, the first release from estate-grown fruit. The vanilla flavors of the barrels are front and center at the moment, though there are darker fruits in the background, along with smoke, licorice and a hint of tar. Good long-term potential.",86,34,Oregon
82450,US,"The new Oregon project from John Abbott (ex-Abeja) kicks off with this vineyard selection from a five-star vintage. A blend of fifth leaf Pommard and 30-year-old W?denswil clones, it's lush and aromatic, sporting bold scents and flavors of ripe raspberry and cherry fruit, with a spine of iron. Toasty new barrel accents punch through, with a clean crisply defined finish.",92,50,Oregon
82460,US,"A deep, almost-black color goes right to a ruby rim. Aromas suggest dark chocolate and coffee bean and the flavors are concentrated, saturated and delicious, like blackberry and blueberry pie—except nicely dry. This full-bodied wine coats the sides of the mouth but stays velvety and lingers on the finish.",92,35,California
82470,Italy,"Toasted hazelnut, golden apple and citrus scents lift out of the glass. The linear, elegant palate delivers ripe pear, lemon zest, bread crust and mineral alongside a refined perlage. It finishes crisp and dry.",92,80,Lombardy
82480,France,"An impressive wine, beautifully structured, never too powerful, very elegant. If it feels a little austere at this stage, that is because the structure is dominating the fruit. Give it 5?? years and the full splendor will be revealed.",94,80,Bordeaux
82490,Spain,"Aurus defines awesome modern Rioja. The nose is floral and decked out with wild berry aromas, marzipan, vanilla and hard spices. The palate is powerful and tannic, with bold cassis, raspberry, cherry, coffee and chocolate flavors. Beautifully crafted and with a nice red fruit element courtesy of 15% Graciano to go with old vines Tempranillo. Drink from 2012??021.",94,247,Northern Spain
82500,South Africa,"This is a clean and bright selection, with pure notes of green melon, apple and fresh herbs. The lively palate offers lime peel and grassy tones that finish clean on the finish. It's an approachable and easy-drinking wine best enjoyed now.",87,9,Western Cape
82510,US,"Apple mash and salty oak are on offer in this light-styled estate wine sourced from several of the producer's single vineyards. Mellow in texture, it's intense on the finish, with a snap of anise and nutmeg.",87,30,California
82520,Portugal,"Blending local grapes with Cabernet Sauvignon, Syrah and Merlot has resulted in a bold, ripe and fruity wine. It has the warmth and richness of southern Alentejo, its soft tannins and ripe fruit cut with acidity and spice. Full bodied and balanced, it will be ready to drink from 2018.",87,14,Alentejano
82530,Chile,"Seems old due to mild vegetal aromas infiltrating the wine's core aromas of banana, vanilla and melon. Still zesty in feel despite 2011 being the current vintage; tastes of mature orange, grapefruit and pith, with lime on the finish. Drink now.",83,9,Central Valley
82540,Italy,"This easy Sangiovese should pair with a pizza or a grilled ham and cheese sandwich. There are mild fruit flavors here, followed by sun-drenched aromas of leather and spice.",83,8,Central Italy
82550,US,"Clean lines of lemon-lime juice, orange zest, pink rose petals and peach show on the crisp yet ripe nose of this bottling. The palate is zesty and framed by a chalky tension, showing slightly sour flavors of lime peel and hints of stone fruit in the background.",88,18,California
82560,US,"Very tropical but fresh and clean aromas of pineapple, guava and lemongrass show on the nose of this bottling. It's a bit fat on the sip with prominent guava and tropical flowers like plumeria, yet it's a zesty well-made wine.",88,,California
82570,US,"Though not labeled as such, this wine is all Gewürztraminer. It's aromatic with aromas of lychee, rose petal and spice. The flavors are light and dry, almost delicate, with abundant floral accents.",88,14,Idaho
82580,US,"Ripe red apple, lemon and caramelized sugar scent this enticingly fragrant Chardonnay. On the palate, fresh apple and citrus flavors are backed by a rich slightly clingy backdrop of vanilla cream. A fresh hit of lime and hints of wood and spice mark a moderately long finish. Drink now through 2019.",88,16,New York
82590,Chile,"Oaky chocolaty aromas and candied berry notes make for a rich opening. This is tannic and bracing in feel, with peppery, herbal berry flavors that are fully oaked. A dark toasty finish offers some residual cream and chocolate.",88,15,Limarí Valley
82600,Italy,"A blend of 85% Sangiovese and 15% Cabernet Sauvignon, this has subdued aromas suggesting scorched earth, coffee bean and a whiff of dark spice. The round palate offers dried black cherry, espresso and a hint of cake spice framed in pliant tannins. Drink soon to capture the remaining freshness.",88,24,Tuscany
82610,Spain,"Dusty and peppery aromas alert you to the fact that this will be a lean, tight ride. The palate delivers on the promise, showing tart cherry and raspberry flavors in front of a wave of vanilla on the choppy, acidic finish. Decent fruit and clean, but lean and clipped.",83,9,Levante
82620,US,"Brawny and fruity, this wine has a hot mouthfeel from high alcohol, accentuating the tannins. The blackberry and cherry flavors taste stewed. But the finish is dry.",83,23,California
82630,Chile,"This weighty, structured, dark-colored blend of Syrah, Carignan, Carmenère and Petit Verdot pours on the berry, vanilla and baking spice aromas. The mouthfeel is full, with a lot to savor, especially toasty, typically Chilean flavors of olive, herbs and berry fruits. A spicy, dry, harmonious finish closes the show. Drink now through 2015.",91,27,Maule Valley
82640,US,"Produced by Three Rivers for celebrity winemaker Geoff Tate, this new Insania is a full-on Bordeaux blend, with all five red grapes in the mix. It's a powerful wine, with heavy metal flavors of deep black fruits and thick tannins. Pair it with a juicy steak or Kobe beef burger and rock on.",91,35,Washington
82650,US,"Freedom Hill is one of the most-admired vineyards in the Willamette Valley, and this elegant wine does it full justice. A beguiling mix of roses, chocolate, berry and sandalwood, it tickles the nose and tongue with its precision and deceptive depth of flavor.",91,55,Oregon
82660,US,"Rachis refers to a particular part of the grape stem, and indicates that roughly one quarter of this wine is whole cluster fermented. Very pretty cherry fruit is gently mixed with accents of Italian herbs, and the stems tighten up the tannins and add a light hint of bitterness. The finish has a tart, grapefruity kick.",91,53,Washington
82670,US,"This is pure Cabernet Sauvignon, with pretty, ripe berry and plum fruit flavors in abundance. The toasty frame, medium tannins and hints of dried leaf add to the overall composition of this nicely-balanced, limited-production wine.",90,38,Washington
82680,US,"A pretty good Chardonnay, dry and crisp and minerally. It comes from this famous vineyard in the heart of the southern valley, and shows proper flavors of green apples and peaches, with a firm minerality and fine acidity. Not particularly rich, but interesting and complex, and a good companion to food.",88,25,California
82690,US,"A lovely Zinfandel, soft and dry, with luscious cherry, raspberry and sandalwood flavors, dusted with pepper and cocoa. Easy to drink and versatile with everything from pizza to a grilled steak.",88,14,California
82700,Spain,"Crisp, clean and nice on the nose, with a hint of white pepper. The palate is round and not overly acidic, making it friendly and endowed with mass appeal. Flavors of green melon and citrus are smooth and not too demanding, while the finish is easy and clean. A welcome entry into the land of Rueda and its Verdejo.",88,11,Northern Spain
82710,France,"Always one of the top performers in Margaux, this dense and concentrated wine has a bold, ripe character from the plum and berry fruits. It has the weight to develop. Drink from 2020.",93,54,Bordeaux
82720,Austria,"Green and yellow pear are subsumed into a savory whole composed of yeast and crushed kitchen herbs. There are highlights of Granny Smith apple and lemon rind, of lovage and white pepper, and all of these flavors are put into tight, peppery focus on the slender but concentrated palate. This fizzes with peppery spice and zest.",93,26,Kamptal
82730,New Zealand,"Having admired the Squawking Magpie wines for several years, it's a pleasure to see they're now represented in the United States. This blend of Cabernet Sauvignon, Merlot and Cabernet Franc is full bodied, rich and velvety in feel, with aromas and flavors of mint, cassis and chocolate. It's plush enough to drink now, but should age well through at least 2030.",93,90,Hawke's Bay
82740,Argentina,"Green, grassy and not very appealing. There's a can't-miss murky, green, herbal character here that yields almost weedy fruit flavors and carob. Sweet, candied, green and just not that good for a Paul Hobbs-made wine.",81,19,Mendoza Province
82750,Italy,"This sweet wine from Italy is guaranteed to blow your socks off. Its thickness and density resembles concentrated maple syrup or molasses. It is made with Prugnolo Gentile (Sangiovese) grapes that are air-dried and then aged in small wood containers for many careful years. The gorgeous aromas include roasted chestnuts, brown sugar, prunes and sweet figs and you can sense the power too.",99,237,Tuscany
82760,Portugal,"This is a style of Late Bottled Vintage that should be aged. It has great red and black fruits at this stage but will develop a more structured, dense and firm character as it matures. Give this well-made, juicy wine with its sweet black fruits at least until 2017.",90,25,Port
82770,Spain,"Jammy aromas of plum and berry are oaky and come with a hint of rubber and/or latex. This is weighty yet balanced. Earthy flavors of baked black fruits, tea and spice are slightly minerally, while the finish is oaky and generous, with a touch of menthol and heat.",90,15,Northern Spain
82780,US,"Sourced from estate vines planted in 1972, this is historic, yet not quite as rich in the details that some newer Pinot clones might provide. Cranberry and raspberry fruit hit the palate in a tangy twirl, with a kiss of oak from 25% new French barrels. It's well-balanced and fresh, with a chance to improve considerably with a few more years of bottle age; try after 2017.",90,125,Oregon
82790,US,"A new blend for Pepper Bridge, Trine is named for the three main partners and includes all five Bordeaux red grapes. Tannic and earthy, with a powerful core of dark fruit, this needs more bottle time to fully integrate. Layers of fruit are mixed with loam, iron, licorice and espresso, full-bodied and deep.",91,60,Washington
82800,Italy,"Il Musmeci is quickly reaching cult status in Italy as one of the best wines to emerge from Etna. Made from Nerello Mascalese and a small component of Nerello Cappuccio, it shows fine and elegant aromatic nuances of smell berry, cola and volcanic stone. The wine's real power comes in the mouth thanks to its tannic structure and length.",91,30,Sicily & Sardinia
82810,US,"This is an instantly loveable Grenache, bursting with ripe, sweet raspberries and cherries. Young and fresh, it's like sucking on a really good candy; then it finishes with a flourish of toast and mocha.",91,26,Washington
82820,US,"This tops a thoroughly outstanding lineup of eight estate-grown Rieslings from Trisaetum. Unctuous citrus and stone fruits abound: a luscious mix of Meyer lemon, pink grapefruit, peach and apricot. There are hints of honey, caramel and butter, and everything is tightened up by defining acidity. Though entirely ageworthy, this is so thoroughly delicious already you'll want to drink at least a bottle or two immediately. Drink now through 2035.",96,38,Oregon
82830,France,"Fermented and aged briefly in wood, this is dry, intense and toasty while still giving space for white fruits and some citrus. Richly endowed, spicy, and tangy, its structure and tight texture mark it out as a Champagne for long-term aging. The aftertaste is brisk, packed with acidity and with reminiscences of the oak-aging in the vanilla finish. Drink this bottling from 2018.",95,80,Champagne
82840,Italy,"Elegant and structured, this opens with exquisite scents of cedar, chopped herb, pressed rose, menthol and perfumed berry. The luminous palate is loaded with finesse, delivering bright red cherry, chopped red raspberry, licorice, clove and mineral. Firm, refined tannins and vibrant acidity provide impeccable balance and support. Hold for even more complexity. Drink 2018 through 2030.",95,60,Piedmont
82850,France,"This rich wine has both open, ripe black fruits and the freshness of the vintage. On top, there is an extra layer of color and exuberance. It includes some Petit Verdot, rare in Saint-?milion.",88,,Bordeaux
82860,US,"Oso Libre ventures into the nonvintage category with this blend of 10 wines from the past five years, delivering a nose with blackberry and a pinch of pepper. The meaty wine really gets your attention once sipped, with boysenberry, cracked peppercorn, some iron and a lingering licorice flavors.",88,39,California
82870,France,"A wonderful wine that has preserved its freshness while welcoming elements of toasty maturity. It is crisp, definitely on the dry side, with red currants, bright wild strawberries over the purest acidity. It's sure to age over many years, but, if you must, can be drunk now.",95,390,Champagne
82880,US,"This has been one of Etude's best bottlings, and 2007 was a great year. If you enjoy sheer, decadent deliciousness in your Pinot Noirs, this is one for you. The palate first is struck by the rich waves of cherry pie filling, raspberry essence and sweet, vanilla-tinged, smoky oak. Then it discovers the soft silkiness, and finally the firm, fine tannins kick in, providing structure. Just beguiling, and should develop in the bottle over the next 5?? years.",95,60,California
82890,US,"Shows good Chardonnay character, with pleasant citrus and tropical fruit, buttered toast and vanilla flavors. The acidity is fine, but it's watery, lacking depth and fullness. Disappointing from this producer.",85,30,California
82900,US,"Sourced from the Crawford vineyard in Washington's Yakima Valley, this inexpensive Syrah seems a bit stripped. There is some good material here, but a whiff of volatility and a deadness in the mouth robs it of vitality. Light cherry and plum, with a dash of coffee, is what's left.",85,15,Washington
82910,US,"A little on the sweet side, with sugary green apple, orange and pineapple flavors. It's clean and crisp, making it a nice wine for summer picnics, at a good price.",85,15,California
82920,Argentina,"Roasted, soupy berry aromas lead to a sticky, heavy palate with a doughy build. This tastes mostly of baked, herbal tomato and plum, while cherry, spice, chocolate, coffee grinds and earthy flavors bring up the rear.",86,11,Mendoza Province
82930,US,"This is a sweet white wine with some of the nice qualities of a dry table wine, including distinct apricot aromas and flavors, good acidity and a smooth texture.",86,10,California
82940,US,"A delicate balance of geranium, peach blossom and ginger cookie shows on the nose and palate, with an additional herbal hop notes chiming in for the flavors. There's good acidic verve to counterattack the broad palate, making this rich white a solid choice for cedar-plank grilled fish.",86,18,Texas
82950,France,"This is a bright, tight wine, with flavors of citrus and white fruit. It has intense acidity, and the sweetness of the dosage gives it a soft feeling. It's light and fruity.",87,,Champagne
82960,Portugal,"High-elevation vineyards produce the fruit for this crisp, herbaceous wine. It has flavors of ripe gooseberry and lime, with a light hint of nutmeg, immediately appealing in its fruitiness.",86,16,Douro
82970,France,"Glimmers of game and pepper infuse the red-fruit-driven core of this wine. Plum, raspberry and cherry, dusted with notes of baking spice, flourish on the palate. Medium weight, with dusty tannins, this is reminiscent of crushed dried berries.",86,15,Languedoc-Roussillon
82980,France,"This pale pink-grey colored wine is a blend of Duras and Merlot. It is lively and fruity, with a red-currant flavor, delicious crisp acidity and a soft, lively aftertaste. Drink now.",86,20,Southwest France
82990,US,"Bright, light oak shadings dress up this medium-bodied wine, complementing the red cherry and strawberry flavors. It's fresh, fruity and not very tannic—easy to drink and enjoy.",86,10,California
83000,US,"Squeezed lime, wet concrete and green apple rind scents show on the nose of this basic bottling. Kaffir lime tang meets with ripe red apple and pear notes on the palate, framed by a stony texture.",86,14,California
83010,US,"Lots of ripe, luscious raspberry, cherry and mocha fruit in this Cabernet. It has good acidity and some fine tannins. One drawback is the finish, which is rich in brown sugar and glycerine, with high alcohol. Drink up.",87,42,California
83020,Italy,"A great deal at this price point, this vintage-dated Italian sparkler opens with steely bubbles and tightly focused aromas of white peppercorn, white peach citrus and honey. It's considerable intensity helps drive it forward over the palate.",87,12,Veneto
83030,Italy,"A lean but crisp mouthfeel characterizes this vintage-dated Prosecco Superiore. The wine shows simple tones of white flower, crushed stone and white almond. The effervescence feels tight and clean.",87,18,Veneto
83040,France,"This ripe, crisp wine features swathes of red currants and cherries. The fruitiness is balanced by good acidity and by a final, mineral texture that gives the wine balance. Drink now.",89,25,Loire Valley
83050,US,"Light earth, tea and cherry aromas join tasty cranberry and raspberry flavors in this medium-bodied and well-balanced wine. It has a nice tension on the palate, with lightly gripping tannins and a firm, appetizing finish.",89,15,California
83060,Georgia,"Inky violet in the glass, this wine offers aromas of cassis and licorice. Tart fruit comes on strong at first, followed by mouth-coating tannins. Flavors of cherry, blueberry, smoke and juniper are at their best after a glass is exposed to air for a few minutes. Bright acidity and a not unwelcome touch of fruit sweetness punctuate the silky finish.",89,39,Kakheti
83070,Australia,"Light stone fruit aromas on the nose; it's round in the mouth, with stone fruit, mineral and citrus flavors. A good aperitif, and a solid choice if creamy, oaky Chards just aren't your style.",88,40,South Australia
83080,US,"A nice Merlot that drinks rich and satisfying. Notable for the smooth, lush texture, like velvet on the palate, and carrying plum and blackberry flavors. This is a fancy, versatile table wine that could use just an extra edge of depth and complexity.",88,28,California
83090,Australia,"Bright gold in color, with waxy melon aromas. Waxy melon aromas on the nose lead to peach, toast and beeswax in the mouth. Medium-bodied; a nice mineral-chalk note dries up the finish.",87,24,New South Wales
83100,Spain,"Gritty earthy aromas come up short on freshness and clarity. This feels raw and pinching, with dry rubbing tannins. Gritty peppery berry flavors are oaky, while this finishes with savory berry, herb and tobacco flavors. Hammering tannins suggest decanting and/or service with hearty foods.",89,50,Northern Spain
83110,Spain,"Raisin, maple and vanilla aromas are derived from borderline overripe raw materials and 24 months in barrel. A hard palate pulls downward with massive tannins. Baked berry and chocolaty oak flavors finish with notes of berry pie and raisin.",89,69,Northern Spain
83120,Italy,"Dark-skinned berry, leather and underbrush aromas come together in this blend of 70% Sangiovese, 20% Cabernet Sauvignon and 10% Merlot. The dense palate doles out black plum, clove and toast flavors, supported by dusty, assertive tannins. Drink through 2020.",89,40,Tuscany
83130,France,"This is a beautifully pure wine with good acidity and a very crisp texture. It's all about fresh citrus while keeping a place for the tight, cool character of this vineyard. The end shows grapefruit and steeliness in equal combination. Drink from 2016.",91,,Burgundy
83140,Australia,"This hearty Shiraz is no joke. The smoky, meaty nose blends right into bold fruit flavors of blueberries and mulberries. It's full-bodied and creamy-textured, with a plush yet vibrant finish. Drink now??020.",91,22,South Australia
83150,France,"Caramel aromas lead to a wine that is rich and full bodied. It has weight and concentration, along with fresh acidity that cuts through at the end. A good sense of minerality gives this wine extra texture. Drink from 2017.",91,30,Burgundy
83160,South Africa,"This value-minded wine from an iconic producer offers attractive initial scents of brambly berry and cherry, with additional touches of marzipan and vanilla that lend decadence. The medium-weight palate shows great balance, with ample acidity and firm yet fine tannins that frame the bright red-fruit flavors. Drink now??018.",89,12,Stellenbosch
83170,Austria,"Tender but rich notes of damask rose dominate the nose. They are joined on the palate by a textured, almost phenolic mouthfeel in which fresh citrus vibrates and swings along with just off-dry notes of ripe stone fruit. This lush but still toned wine will come into its own with rich, soft-rind cheeses or spicy Asian fare.",89,38,Wachau
83180,US,"Delicate whiffs of toast, butterscotch and smoke meander from nose to palate in this remarkably focused, elegant wine. Lime and pear flavors are vivacious and bright, meandering long on the finish.",89,22,New York
83190,Spain,"This black-colored crianza delivers big, toasty aromas of charred oak, setting the stage for a massive palate, the equivalent of an 18-wheeler. Blackened flavors of burnt wood, coffee and berry fruit lead to a smacking tannic finish. Drink 2020??025.",91,30,Northern Spain
83200,US,"This wine is a blend of Merlot (58%), Cabernet Franc (22%), Cabernet Sauvignon (15%) and Petit Verdot. Brooding aromas of cherry, blackberry, wood spice, anise and bittersweet chocolate lead to dry, incredibly tightly wound tannins. It needs significant time in the cellar to soften a bit. Don't go near it until 2025 unless you give it an extended decant.",91,95,Washington
83210,US,"Blue-fruit aromas are front and center along with notes of herb and barrel spice. The palate shows restraint and suppleness that continues through the sweet fruit flavors on the finish. It's an intriguing, stylistically unique offering of this variety.",91,55,Washington
83220,US,"Well-priced from estate-grown vineyards, Shannon Ridge's Chardonnay is smooth in lemon, ripe apple and pear, and easygoing and clean with a finish of pineapple and vanilla oak. A great go-to wine for white wine lovers.",88,15,California
83230,Turkey,"There's a spotlight on ripe, brooding black plums and cherries in this big, powerful Turkish Cabernet Sauvignon. It's densely structured, with fine-grained, yet deeply penetrating tannins, and a streak of high acidity, but there's an elegant suppleness throughout that hints of a long maturation ahead.",88,25,Urla-Thrace
83240,US,"High alcohol and exceptionally ripe fruit are the hallmarks of this mountain vineyard. In this Zinfandel, they express themselves as blackberries, cherries and mocha that have a roasted edge, and a Port-like heat that is by no means unpleasant. But you do want to drink this Zin with dishes rich in beef, cheese and olive oil.",88,48,California
83250,US,"Crushed oregano, rosemary oil and yard clippings show on the nose of this pyrazine-popping bottling. Flavors of cut grass and jalape?o on the palate grow complex thanks to a green orange-peel element.",88,19,California
83260,US,Good fruit concentration and mellow oak accents make a good combo in this full-bodied and plush-textured wine. The aromas resemble cedar and tobacco and flavors suggest ripe plum and raspberry.,88,26,California
